study_id,pmid,pmcid,doi,title,year,journal,url,fulltext_access_status,verification_status,setting_code,component_code,intervention_node_prelim,local_path,primary_reviewer,second_reviewer,arbitration_reviewer,screening_status,fulltext_final_decision,fulltext_exclusion_reason,consensus_status
FRAIL-011,40938877,PMC12431197,10.1371/journal.pone.0323923,The impact of outdoor walking interventions on frailty among older adults with mobility limitations: Findings from the Getting Older Adults Outdoors (GO-OUT) study.,2025,PloS one,https://pubmed.ncbi.nlm.nih.gov/40938877/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,aerobic_walking,exercise_only,data\raw\pmc_fulltext\PMC12431197.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-012,40749218,PMC12316439,10.2196/76357,Mixed Reality-Based Physical Therapy in Older Adults With Sarcopenia: Preliminary Randomized Controlled Trial.,2025,JMIR serious games,https://pubmed.ncbi.nlm.nih.gov/40749218/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;balance;digital_home,exercise_only,data\raw\pmc_fulltext\PMC12316439.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-013,40695991,PMC12284115,10.1038/s41746-025-01873-y,A randomized controlled trial of mobile intervention using health support bubbles to prevent social frailty.,2025,NPJ digital medicine,https://pubmed.ncbi.nlm.nih.gov/40695991/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,balance;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC12284115.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-014,40514302,PMC12413722,10.1016/j.tjpad.2025.100231,Tailoring multidomain intervention programs to reduce cognitive and physical decline in older adults: Examining rural-urban differences in a nationwide cluster-randomized controlled trial.,2025,The journal of prevention of Alzheimer's disease,https://pubmed.ncbi.nlm.nih.gov/40514302/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;aerobic_walking;nutrition;multidomain,multidomain_exercise_nutrition,data\raw\pmc_fulltext\PMC12413722.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-015,40471669,PMC12179572,10.2196/69259,"Outdoor Exercise Facility-Based Integrative Mobile Health Intervention to Support Physical Activity, Mental Well-Being, and Exercise Self-Efficacy Among Older Adults With Prefrailty and Frailty in Hong Kong: Pilot Feasibility Randomized Controlled Trial Study.",2025,JMIR mHealth and uHealth,https://pubmed.ncbi.nlm.nih.gov/40471669/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,digital_home,digital_home_unclear_intervention,data\raw\pmc_fulltext\PMC12179572.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-016,40367490,PMC12094531,10.2196/65636,"Frailty, Fitness, and Quality of Life Outcomes of a Healthy and Productive Aging Program (GrandMove) for Older Adults With Frailty or Prefrailty: Cluster Randomized Controlled Trial.",2025,JMIR aging,https://pubmed.ncbi.nlm.nih.gov/40367490/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;aerobic_walking;multidomain,multidomain,data\raw\pmc_fulltext\PMC12094531.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-017,40121486,PMC11929174,10.1186/s13102-025-01105-6,Psychophysiological effects of a supervised home-based resistance band exercise program in pre-frail older patients with type 2 diabetes mellitus: a randomized controlled trial.,2025,"BMC sports science, medicine & rehabilitation",https://pubmed.ncbi.nlm.nih.gov/40121486/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,home,resistance;aerobic_walking;digital_home,exercise_only,data\raw\pmc_fulltext\PMC11929174.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-018,40005003,PMC11858716,10.3390/nu17040675,"Personalized Diet With or Without Physical Exercise Improves Nutritional Status, Muscle Strength, Physical Performance, and Quality of Life in Malnourished Older Adults: A Prospective Randomized Controlled Study.",2025,Nutrients,https://pubmed.ncbi.nlm.nih.gov/40005003/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;balance;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC11858716.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-019,39997521,PMC11855813,10.3390/geriatrics10010022,Effects of Twelve Weeks of Square Stepping Exercises on Physical and Cognitive Function and Plasma Content of SMP30: A Randomised Control Trial.,2025,"Geriatrics (Basel, Switzerland)",https://pubmed.ncbi.nlm.nih.gov/39997521/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,balance;aerobic_walking;multidomain,multidomain,data\raw\pmc_fulltext\PMC11855813.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-020,39954533,PMC12179999,10.1016/j.jnha.2025.100512,Long-term frailty and physical performance transitions in older people with type-2 diabetes. The MIDFRAIL randomized clinical study.,2025,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/39954533/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC12179999.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-021,39871464,PMC11786508,10.12659/MSM.947105,Effects of Remote Exercise on Physical Function in Pre-Frail Older Adults: A Randomized Controlled Trial.,2025,Medical science monitor : international medical journal of experimental and clinical research,https://pubmed.ncbi.nlm.nih.gov/39871464/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;balance;digital_home,exercise_only,data\raw\pmc_fulltext\PMC11786508.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-022,39652737,PMC11614458,10.1519/JSC.0000000000004941,A 24-Week Combined Resistance and Balance Training Program Improves Physical Function in Older Adults: A Randomized Controlled Trial.,2025,Journal of strength and conditioning research,https://pubmed.ncbi.nlm.nih.gov/39652737/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;balance;aerobic_walking,exercise_only,data\raw\pmc_fulltext\PMC11614458.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-023,39580545,PMC11981931,10.1038/s41430-024-01547-0,Effect of individually tailored nutritional counseling on frailty status in older adults with protein-energy malnutrition or risk of it: an intervention study among home care clients.,2025,European journal of clinical nutrition,https://pubmed.ncbi.nlm.nih.gov/39580545/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,nutrition;multidomain,multidomain,data\raw\pmc_fulltext\PMC11981931.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-024,39478450,PMC11523852,10.1186/s12877-024-05464-6,Combining motivational and exercise intervention components to reverse pre-frailty and promote self-efficacy among community-dwelling pre-frail older adults: a randomized controlled trial.,2024,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/39478450/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,balance;multicomponent_exercise,multicomponent_exercise,data\raw\pmc_fulltext\PMC11523852.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-025,39390362,PMC11465814,10.1186/s11556-024-00363-6,Effectiveness of community-based Baduanjin exercise intervention for older adults with varying frailty status: a randomized controlled trial.,2024,European review of aging and physical activity : official journal of the European Group for Research into Elderly and Physical Activity,https://pubmed.ncbi.nlm.nih.gov/39390362/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;balance;mind_body,exercise_only,data\raw\pmc_fulltext\PMC11465814.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-026,39354527,PMC11443903,10.1186/s13063-024-08490-2,"A single-center, double-blind, randomized, placebo-controlled, two-arm study to evaluate the safety and efficacy of once-weekly sirolimus (rapamycin) on muscle strength and endurance in older adults following a 13-week exercise program.",2024,Trials,https://pubmed.ncbi.nlm.nih.gov/39354527/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;aerobic_walking;digital_home,exercise_only,data\raw\pmc_fulltext\PMC11443903.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-027,39211745,PMC11358125,10.3389/fragi.2024.1376825,"Underweight, overweight, and weight change in older family caregivers and their care recipients: longitudinal evidence from a randomized controlled trial.",2024,Frontiers in aging,https://pubmed.ncbi.nlm.nih.gov/39211745/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,nutrition,nutrition_only,data\raw\pmc_fulltext\PMC11358125.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-028,38111605,PMC10725933,10.3389/fnut.2023.1284497,Medium-chain triglycerides (8:0 and 10:0) increase muscle mass and function in frail older adults: a combined data analysis of clinical trials.,2023,Frontiers in nutrition,https://pubmed.ncbi.nlm.nih.gov/38111605/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;aerobic_walking;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC10725933.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-029,37960913,PMC12880481,10.1007/s12603-023-1991-0,Hybrid Exercise Program Enhances Physical Fitness and Reverses Frailty in Older Adults: Insights and Predictions from Machine Learning.,2023,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/37960913/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;aerobic_walking;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC12880481.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-030,37875291,PMC10751415,10.1002/jcsm.13359,Dose-response effects of resistance training on physical function in frail older Chinese adults: A randomized controlled trial.,2023,"Journal of cachexia, sarcopenia and muscle",https://pubmed.ncbi.nlm.nih.gov/37875291/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;aerobic_walking,exercise_only,data\raw\pmc_fulltext\PMC10751415.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-031,37357328,PMC10230140,10.1007/s12603-023-1928-7,"Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial.",2023,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/37357328/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,primary_care,resistance;multicomponent_exercise;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC10230140.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-032,37328797,PMC10273765,10.1186/s12877-023-04080-0,Effects of an individualised exercise programme plus Behavioural Change Enhancement (BCE) strategies for managing fatigue in frail older adults: a cluster randomised controlled trial.,2023,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/37328797/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,unclear,unclear,data\raw\pmc_fulltext\PMC10273765.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-033,37049448,PMC10097015,10.3390/nu15071607,The Impact of Nutrition and Oral Function Exercise on among Community-Dwelling Older People.,2023,Nutrients,https://pubmed.ncbi.nlm.nih.gov/37049448/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,nutrition,nutrition_only,data\raw\pmc_fulltext\PMC10097015.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-034,36673644,PMC9859571,10.3390/healthcare11020276,Effect of the Active Aging-in-Place-Rehabilitation Nursing Program: A Randomized Controlled Trial.,2023,"Healthcare (Basel, Switzerland)",https://pubmed.ncbi.nlm.nih.gov/36673644/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;balance;multidomain,multidomain,data\raw\pmc_fulltext\PMC9859571.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-035,36636457,PMC9830714,10.2147/CIA.S391700,Protein-Added Healthy Lunch-Boxes Combined with Exercise for Improving Physical Fitness and Vascular Function in Pre-Frail Older Women: A Community-Based Randomized Controlled Trial.,2023,Clinical interventions in aging,https://pubmed.ncbi.nlm.nih.gov/36636457/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;aerobic_walking;multicomponent_exercise;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC9830714.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-036,36528997,PMC9757806,10.1016/j.gerinurse.2022.11.019,Efficacy of a multicomponent exercise training program intervention in community-dwelling older adults during the COVID-19 pandemic: A cluster randomized controlled trial.,2023,"Geriatric nursing (New York, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/36528997/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,multicomponent_exercise;multidomain,multidomain,data\raw\pmc_fulltext\PMC9757806.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-037,36426763,PMC10100027,10.1111/ggi.14511,"Adherence, safety and potential effectiveness of a home-based Radio-Taiso exercise program in older adults with frailty: A pilot randomized controlled trial.",2023,Geriatrics & gerontology international,https://pubmed.ncbi.nlm.nih.gov/36426763/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,home,digital_home,digital_home_unclear_intervention,data\raw\pmc_fulltext\PMC10100027.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-038,36341237,PMC9634412,10.3389/fmed.2022.971497,Intrinsic capacity rather than intervention exposure influences reversal to robustness among prefrail community-dwelling older adults: A non-randomized controlled study of a multidomain exercise and nutrition intervention.,2022,Frontiers in medicine,https://pubmed.ncbi.nlm.nih.gov/36341237/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;multicomponent_exercise;nutrition;digital_home;multidomain,multidomain_exercise_nutrition,data\raw\pmc_fulltext\PMC9634412.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-039,35887850,PMC9320394,10.3390/jcm11144077,Frailty Status Improvement after 5-Month Multicomponent Program PROMUFRA in Community-Dwelling Older People: A Randomized Controlled Trial.,2022,Journal of clinical medicine,https://pubmed.ncbi.nlm.nih.gov/35887850/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;multicomponent_exercise;digital_home,multicomponent_exercise,data\raw\pmc_fulltext\PMC9320394.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-040,35766913,PMC9388057,10.24095/hpcdp.42.6.02,"Encouraging older adults with pre-frailty and frailty to ""MoveStrong"": an analysis of secondary outcomes for a pilot randomized controlled trial.",2022,"Health promotion and chronic disease prevention in Canada : research, policy and practice",https://pubmed.ncbi.nlm.nih.gov/35766913/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;balance;aerobic_walking;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC9388057.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-041,35399053,PMC8994906,10.1186/s12877-022-02888-w,The effects of vitamin D supplementation on frailty in older adults at risk for falls.,2022,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/35399053/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,balance;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC8994906.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-042,34725661,PMC12929997,10.1007/s12603-021-1671-x,"Association of Pain and Impact of Dual-Task Exercise on Function, Cognition and Quality of Life.",2021,"The journal of nutrition, health & aging",https://pubmed.ncbi.nlm.nih.gov/34725661/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,balance;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC12929997.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-043,34620081,PMC8499414,10.1186/s11556-021-00273-x,Effectiveness of a community-delivered pneumatic machine resistance training programme (Gym Tonic) for older adults at neighbourhood senior centres - a randomized controlled trial.,2021,European review of aging and physical activity : official journal of the European Group for Research into Elderly and Physical Activity,https://pubmed.ncbi.nlm.nih.gov/34620081/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;balance;aerobic_walking;digital_home,exercise_only,data\raw\pmc_fulltext\PMC8499414.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-044,34449605,PMC8395892,10.3390/geriatrics6030072,Enhancement of Anticipatory Postural Adjustments by Virtual Reality in Older Adults with Cognitive and Motor Deficits: A Randomised Trial.,2021,"Geriatrics (Basel, Switzerland)",https://pubmed.ncbi.nlm.nih.gov/34449605/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,balance;aerobic_walking,exercise_only,data\raw\pmc_fulltext\PMC8395892.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-045,34351363,PMC8581390,10.1093/ageing/afab149,Long-term effect of a 24-week multicomponent intervention on physical performance and frailty in community-dwelling older adults.,2021,Age and ageing,https://pubmed.ncbi.nlm.nih.gov/34351363/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,multicomponent_exercise;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC8581390.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-046,33968874,PMC8097036,10.3389/fpubh.2021.610184,Effectiveness of a Community-Based Muscle Strengthening Exercise Program to Increase Muscle Strength Among Pre-frail Older Persons in Malaysia: A Pilot Study.,2021,Frontiers in public health,https://pubmed.ncbi.nlm.nih.gov/33968874/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance,exercise_only,data\raw\pmc_fulltext\PMC8097036.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-047,33937294,PMC8086796,10.3389/fmed.2021.660463,"Possible Sarcopenia and Impact of Dual-Task Exercise on Gait Speed, Handgrip Strength, Falls, and Perceived Health.",2021,Frontiers in medicine,https://pubmed.ncbi.nlm.nih.gov/33937294/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;balance;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC8086796.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-048,33742266,PMC7978459,10.1007/s11121-021-01221-y,Effectiveness of Community-Delivered Functional Power Training Program for Frail and Pre-frail Community-Dwelling Older Adults: a Randomized Controlled Study.,2021,Prevention science : the official journal of the Society for Prevention Research,https://pubmed.ncbi.nlm.nih.gov/33742266/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,resistance;balance,exercise_only,data\raw\pmc_fulltext\PMC7978459.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-049,33583000,PMC7990826,10.1007/s41999-020-00438-4,The sarcopenia and physical frailty in older people: multi-component treatment strategies (SPRINTT) project: description and feasibility of a nutrition intervention in community-dwelling older Europeans.,2021,European geriatric medicine,https://pubmed.ncbi.nlm.nih.gov/33583000/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,multicomponent_exercise;nutrition;digital_home,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC7990826.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-050,33546255,PMC7913348,10.3390/ijerph18041396,Randomized Controlled Trial on the Effects of a Combined Intervention of Computerized Cognitive Training Preceded by Physical Exercise for Improving Frailty Status and Cognitive Function in Older Adults.,2021,International journal of environmental research and public health,https://pubmed.ncbi.nlm.nih.gov/33546255/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;aerobic_walking;digital_home;multidomain,multidomain,data\raw\pmc_fulltext\PMC7913348.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-051,33513714,PMC7912527,10.3390/md19020062,Limited Benefit of Marine Protein Hydrolysate on Physical Function and Strength in Older Adults: A Randomized Controlled Trial.,2021,Marine drugs,https://pubmed.ncbi.nlm.nih.gov/33513714/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,unclear,resistance;nutrition,exercise_plus_nutrition,data\raw\pmc_fulltext\PMC7912527.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-052,32114877,PMC7874375,10.1177/0733464820902652,"The Otago Exercise Program With or Without Motivational Interviewing for Community-Dwelling Older Adults: A 12-Month Follow-Up of a Randomized, Controlled Trial.",2021,Journal of applied gerontology : the official journal of the Southern Gerontological Society,https://pubmed.ncbi.nlm.nih.gov/32114877/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,home,resistance;balance;aerobic_walking;digital_home,exercise_only,data\raw\pmc_fulltext\PMC7874375.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
FRAIL-053,33032532,PMC7545899,10.1186/s12877-020-01805-3,A physical activity program versus usual care in the management of quality of life for pre-frail older adults with chronic pain: randomized controlled trial.,2020,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/33032532/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,multicomponent_exercise,multicomponent_exercise,data\raw\pmc_fulltext\PMC7545899.xml,Dr Siddalingaiah H S,Dr Chandrakala D,Joint consensus,,,,
FRAIL-054,32762725,PMC7409695,10.1186/s12877-020-01668-8,Nutrition assessment and geriatric associated conditions among community dwelling Iranian elderly people.,2020,BMC geriatrics,https://pubmed.ncbi.nlm.nih.gov/32762725/,pmc_fulltext_available,pmc_fulltext_mined_not_numeric_extracted,community,nutrition,nutrition_only,data\raw\pmc_fulltext\PMC7409695.xml,Dr Chandrakala D,Dr Siddalingaiah H S,Joint consensus,,,,
