title,study_design,species_model,ageing_domain_category,intervention_name,claim_score,claim_category,bias_level
Sleep and Clocks in Aging and Longevity,unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Circadian Rhythms and Time-Restricted Eating in Healthy Aging and Longevity,unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Optimum Sleep for Healthy Ageing,unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Sleep, Ageing, and Cognitive Decline",unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Fecal Transplant: The Benefits and Harms of Fecal Microbiota Transplantation,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Caloric Restriction and Biomarkers of Aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Circadian Clocks and mTOR Signaling,unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Stem Cell Aging: An Overview,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Aging of Muscle Stem Cells,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Aging of Human Mesenchymal Stem Cells,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Aging of the Hematopoietic Stem Cell Niches,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Hematopoietic Stem Cell Aging and Leukemogenesis,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Closing the Circle: Stem Cell Rejuvenation and Longevity,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Aging of Intestinal Stem Cells in Drosophila Melanogaster,animal_experiment,animal,surrogate_or_indirect,stem_cell,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Aging of Murine Hematopoietic Stem Cells,in_vitro_study,animal,surrogate_or_indirect,stem_cell,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Aging of Human Haematopoietic Stem Cells,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Aging of Mammalian Intestinal Stem Cells,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
"History of Caloric Restriction, Aging and Longevity",unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Caloric Restriction, Fasting, and Antiaging Medicine: Fasting, the Biological Signals of Starvation, and Antiaging",unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Caloric Restriction and Starvation in Antiaging Medicine: Caloric Restriction Mimetics,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Physical Activity and Anti-Aging: Prevention of Sarcopenia and Frailty Through Exercise,unclear_or_metadata_only,unclear,healthspan_functional_ageing,exercise,9.0,promising_but_incomplete,moderate_or_high
Gut Microbiome and Brain Ageing,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Gut Microbiome and Brain Aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
What is the role played by physical activity and exercise in the frailty syndrome? Perspectives for future research,unclear_or_metadata_only,unclear,healthspan_functional_ageing,exercise,9.0,promising_but_incomplete,moderate_or_high
Probiotic and microbial modulation of polyamine production: an emerging avenue for neuroprotection in neurodegenerative disorders.,animal_experiment,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Rejuvenation of cerebromicrovascular function in aged mice through heterochronic parabiosis: insights into neurovascular coupling and the impact of young blood factors.,animal_experiment,animal,surrogate_or_indirect,controversial,3.5,speculative_or_hype_heavy,moderate_or_high
Young blood-mediated cerebromicrovascular rejuvenation through heterochronic parabiosis: enhancing blood-brain barrier integrity and capillarization in the aged mouse brain.,animal_experiment,animal,surrogate_or_indirect,controversial,3.5,speculative_or_hype_heavy,moderate_or_high
"Impacts of systemic milieu on cerebrovascular and brain aging: insights from heterochronic parabiosis, blood exchange, and plasma transfer experiments.",unclear_or_metadata_only,human,surrogate_or_indirect,controversial,6.0,biomarker_or_preclinical_evidence,moderate_or_high
Glucagon receptor signaling is indispensable for the healthspan effects of caloric restriction in aging male mice.,animal_experiment,animal,surrogate_or_indirect,caloric_restriction,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Safety of resistance training in the elderly,unclear_or_metadata_only,unclear,surrogate_or_indirect,exercise,6.5,biomarker_or_preclinical_evidence,moderate_or_high
Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,RCT_or_clinical_trial,human,healthspan_functional_ageing,exercise,13.0,supported_for_healthspan_related_benefit,lower
NAD+ Precursors Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR): Potential Dietary Contribution to Health,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Recommendations from the European interdisciplinary council on ageing on physical activity and diet for mental health conditions in older adults.,unclear_or_metadata_only,human,surrogate_or_indirect,exercise,10.5,promising_but_incomplete,moderate_or_high
Rapamycin (Sirolimus),unclear_or_metadata_only,unclear,surrogate_or_indirect,rapamycin_mtor,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Change of the hepatic cells in parabiosis between old and young rats,animal_experiment,cellular,surrogate_or_indirect,controversial,2.5,speculative_or_hype_heavy,moderate_or_high
Changes in hepatic cell mitochondria during parabiosis between old and young rats,animal_experiment,cellular,surrogate_or_indirect,controversial,4.0,speculative_or_hype_heavy,moderate_or_high
"Changes with aging, sex and physical exercise in murine natural killer activity and antibody-dependent cellular cytotoxicity",in_vitro_study,animal,surrogate_or_indirect,exercise,8.0,promising_but_incomplete,moderate_or_high
Influence of physical exercise on aging rats: I. Life-long exercise preserves patterns of spontaneous activity,animal_experiment,unclear,surrogate_or_indirect,exercise,6.5,biomarker_or_preclinical_evidence,moderate_or_high
Influence of physical exercise on aging rats: II. Life-long exercise delays aging of tail tendon collagen,animal_experiment,unclear,surrogate_or_indirect,exercise,6.5,biomarker_or_preclinical_evidence,moderate_or_high
"Mammalian Target of Rapamycin (mTOR), Aging, Neuroscience, and Their Association with Aging-Related Diseases",unclear_or_metadata_only,unclear,surrogate_or_indirect,rapamycin_mtor,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Fecal Microbiota and Probiotic Yogurt Intake,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
NAD+: a crucial regulator of sirtuin activity in aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Fecal Microbiome Transplantation: An Offhand Recipe for Microbiome Therapeutics,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Senomorphic, senolytic, and rejuvenation therapies",unclear_or_metadata_only,unclear,surrogate_or_indirect,senolytics,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Physical activity and health in an ageing workforce,unclear_or_metadata_only,unclear,surrogate_or_indirect,exercise,6.5,biomarker_or_preclinical_evidence,moderate_or_high
Mechanisms of the anti-aging action of caloric restriction,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Evolution of the anti-aging action of caloric restriction,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Senolytic and senomorphic interventions to defy senescence-associated mitochondrial dysfunction,unclear_or_metadata_only,unclear,biological_ageing_biomarker,senolytics,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,RCT_or_clinical_trial,human,surrogate_or_indirect,caloric_restriction,9.5,promising_but_incomplete,lower
Unraveling the meta-hallmarks between senescent and tumor cells: A new perspective for senolytic drug discovery.,in_vitro_study,cellular,surrogate_or_indirect,senolytics,6.0,biomarker_or_preclinical_evidence,moderate_or_high
Caloric restriction and intermittent fasting: Two potential diets for successful brain aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Telomerase activation: A potential key modulator for human healthspan and longevity,unclear_or_metadata_only,human,surrogate_or_indirect,controversial,7.5,biomarker_or_preclinical_evidence,moderate_or_high
Dietary restriction and lifespan: Lessons from invertebrate models,animal_experiment,unclear,hard_ageing_relevance,caloric_restriction,8.5,promising_but_incomplete,moderate_or_high
The Role of Rapamycin in Healthspan Extension via the Delay of Organ Aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,rapamycin_mtor,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Exercise interventions to improve physical frailty and physical frailty components in older adults with hypertension: A systematic review,unclear_or_metadata_only,human,healthspan_functional_ageing,exercise,13.0,supported_for_healthspan_related_benefit,moderate_or_high
Comparison of anti-aging effect of PQQ (Pyrroloquinoline quinone) and NMN/NR (Nicotinamide mononucleotide /Nicotinamide riboside) – possible combination use,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
The epigenetic rejuvenation promise: Partial reprogramming as a therapeutic strategy for aging and disease.,animal_experiment,unclear,surrogate_or_indirect,reprogramming,3.5,speculative_or_hype_heavy,moderate_or_high
Senolytic cocktail dasatinib+quercetin (D+Q) ameliorate irradiation-induced bone loss in mice through inhibiting osteocyte senescence and SASP,animal_experiment,animal,biological_ageing_biomarker,senolytics,8.5,promising_but_incomplete,moderate_or_high
"Aging, Rejuvenation, and Epigenetic Reprogramming: Resetting the Aging Clock",unclear_or_metadata_only,unclear,surrogate_or_indirect,reprogramming,3.5,speculative_or_hype_heavy,moderate_or_high
Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.,unclear_or_metadata_only,unclear,surrogate_or_indirect,reprogramming,3.5,speculative_or_hype_heavy,moderate_or_high
Circadian rhythm disruption impairs ovarian follicular development via NAD&lt;sup&gt;+&lt;/sup&gt; metabolic reprogramming.,unclear_or_metadata_only,human,surrogate_or_indirect,sleep_circadian,11.0,promising_but_incomplete,moderate_or_high
Fasting or caloric restriction for Healthy Aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Fecal microbiota transplantation for antibiotic resistant bacteria decolonization,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Senolytic Cocktail Dasatinib Plus Quercetin Enhances the Antitumor Effect of Senescence-Inducing Radiotherapy in a Preclinical Model of Melanoma,unclear_or_metadata_only,unclear,biological_ageing_biomarker,senolytics,7.0,biomarker_or_preclinical_evidence,moderate_or_high
The NAD-brain pharmacokinetic study of NAD augmentation in blood and brain using oral precursor supplementation.,unclear_or_metadata_only,human,surrogate_or_indirect,nad_sirtuin,9.5,promising_but_incomplete,moderate_or_high
Probiotic potential of Parabacteroides johnsonii in mitigating age-related ovarian functional decline.,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,cohort,human,hard_ageing_relevance,exercise,13.5,supported_for_healthspan_related_benefit,moderate_or_high
Muscle stem cell aging: identifying ways to induce tissue rejuvenation,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
The mitochondrial metabolic checkpoint in stem cell aging and rejuvenation,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Towards personalized nicotinamide mononucleotide (NMN) supplementation: Nicotinamide adenine dinucleotide (NAD) concentration,animal_experiment,human,surrogate_or_indirect,nad_sirtuin,9.5,promising_but_incomplete,moderate_or_high
Metformin-induced longevity is associated with retrotransposon dynamics in yeast chronological aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,metformin,6.5,biomarker_or_preclinical_evidence,moderate_or_high
Senolytic combination of dasatinib and quercetin attenuates renal damage in diabetic kidney disease,unclear_or_metadata_only,unclear,surrogate_or_indirect,senolytics,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Research of <i>in vivo</i> reprogramming toward clinical applications in regenerative medicine: A concise review.,animal_experiment,unclear,surrogate_or_indirect,stem_cell,4.0,speculative_or_hype_heavy,moderate_or_high
Two decades of induced pluripotent stem cell research: From discovery to diverse applications.,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
"Environmental, infrastructural, and social drivers of physical activity in aging cities",unclear_or_metadata_only,human,surrogate_or_indirect,exercise,10.5,promising_but_incomplete,moderate_or_high
Impacts of sarcopenia and resistance exercise training on mitochondrial quality control proteins,unclear_or_metadata_only,unclear,surrogate_or_indirect,exercise,8.0,promising_but_incomplete,moderate_or_high
From wrinkles to malignancy: small-molecule-mediated stem cell approaches in skin aging.,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Mo1818 Effect of Aging on the Fecal Microbiome in Healthy Donors for Fecal Microbiota Transplant,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Proteolysis, caloric restriction and aging",unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Caloric restriction and lifespan: a role for protein turnover?,unclear_or_metadata_only,unclear,hard_ageing_relevance,caloric_restriction,8.5,promising_but_incomplete,moderate_or_high
Cellular and molecular mechanisms whereby dietary restriction extends healthspan: a beneficial type of stress,in_vitro_study,cellular,surrogate_or_indirect,caloric_restriction,6.0,biomarker_or_preclinical_evidence,moderate_or_high
"Endogenous oxidative stress: relationship to aging, longevity and caloric restriction",unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Selective Assembly between Cu2+ and Nicotinamide Mononucleotide (NMN),unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,unclear_or_metadata_only,unclear,biological_ageing_biomarker,senolytics,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,unclear_or_metadata_only,unclear,biological_ageing_biomarker,senolytics,7.0,biomarker_or_preclinical_evidence,moderate_or_high
"Nicotinamide riboside, an NAD+ precursor, attenuates inflammation and oxidative stress by activating sirtuin 1 in alcohol-stimulated macrophages",unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Nicotinamide phosphoribosyltransferase in NAD&lt;sup&gt;+&lt;/sup&gt; metabolism: physiological and pathophysiological implications.,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Early-life exercise extends healthspan but not lifespan in mice.,animal_experiment,animal,hard_ageing_relevance,exercise,11.0,promising_but_incomplete,moderate_or_high
Single-cell profiling unveils a geroprotective role of Procyanidin C1 in hematopoietic immune system via senolytic and senomorphic effects,in_vitro_study,cellular,surrogate_or_indirect,senolytics,6.0,biomarker_or_preclinical_evidence,moderate_or_high
"Probiotic Lactiplantibacillus plantarum OL3246 supports healthy aging by enhancing quality of life, reducing inflammation, and modulating gut microbiota: a pilot study.",unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Dasatinib plus quercetin attenuates some frailty characteristics in SAMP10 mice,animal_experiment,animal,healthspan_functional_ageing,senolytics,8.0,promising_but_incomplete,moderate_or_high
Effect of preoperative rapamycin supplementation on perioperative clinical frailty and cognitive performance in a murine model undergoing anesthesia and surgery.,animal_experiment,animal,healthspan_functional_ageing,rapamycin_mtor,9.5,promising_but_incomplete,moderate_or_high
Promoting healthspan and lifespan with caloric restriction in primates,unclear_or_metadata_only,unclear,hard_ageing_relevance,caloric_restriction,8.5,promising_but_incomplete,moderate_or_high
"Decoding ageing: Handan Melike Dönertaş on microbiomes, AI and improving lifespan and healthspan",unclear_or_metadata_only,unclear,hard_ageing_relevance,microbiome,8.5,promising_but_incomplete,moderate_or_high
NAD&lt;sup&gt;+&lt;/sup&gt; controls circadian rhythmicity during cardiac aging.,unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Isoleucine dietary restriction boosts healthspan and longevity in mice,animal_experiment,animal,surrogate_or_indirect,caloric_restriction,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Dietary restriction in aging and longevity.,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Bisdemethoxycurcumin extends lifespan and healthspan in &lt;i&gt;Caenorhabditis elegans via&lt;/i&gt; modulation of EGFR-linked signaling pathways.,unclear_or_metadata_only,unclear,hard_ageing_relevance,supplements,6.5,biomarker_or_preclinical_evidence,moderate_or_high
Physical Exercise Toughens,unclear_or_metadata_only,unclear,surrogate_or_indirect,exercise,6.5,biomarker_or_preclinical_evidence,moderate_or_high
On the Nonspecific Degradation of NAD+ to Nicotinamide Riboside,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Determination of NAD+ precursors nicotinamide mononucleotide (NMN) and nicotinamide riboside (NR) in plant foods: exploring dietary sources,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
The role of gut microbiome in aging-associated diseases: where do we stand now and how technology will transform the future.,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
Circadian synchronization between diet and gut microbiota in modulating host's health.,unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Function of NAD metabolism in white adipose tissue: lessons from mouse models.,animal_experiment,animal,surrogate_or_indirect,nad_sirtuin,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Recombinant Human Erythropoietin Plays a Pivotal Role As a Topical Stem Cell Activator to Reverse Effects of Damage to the Skin in Aging and Trauma,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
Accelerated Aging versus Rejuvenation of the Immune System in Heterochronic Parabiosis,animal_experiment,unclear,surrogate_or_indirect,controversial,2.0,speculative_or_hype_heavy,moderate_or_high
Resveratrol Up-Regulates the Erythrocyte Plasma Membrane Redox System and Mitigates Oxidation-Induced Alterations in Erythrocytes During Aging in Humans,animal_experiment,human,surrogate_or_indirect,supplements,7.5,biomarker_or_preclinical_evidence,moderate_or_high
The Plasma NAD <sup>+</sup> Metabolome Is Dysregulated in “Normal” Aging,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
How Could We Slow or Reverse the Human Aging Process and Extend the Healthy Life Span with Heterochronous Autologous Hematopoietic Stem Cell Transplantation,in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
"Three-Month Heterochronic Parabiosis Has a Deleterious Effect on the Lifespan of Young Animals, Without a Positive Effect for Old Animals",unclear_or_metadata_only,unclear,hard_ageing_relevance,controversial,5.0,biomarker_or_preclinical_evidence,moderate_or_high
Genetic regulation of fasting-induced longevity effects.,unclear_or_metadata_only,unclear,surrogate_or_indirect,fasting,5.0,biomarker_or_preclinical_evidence,moderate_or_high
"Young Plasma Rejuvenates Blood DNA Methylation Profile, Extends Mean Lifespan, and Improves Physical Appearance in Old Rats.",animal_experiment,unclear,hard_ageing_relevance,controversial,6.5,biomarker_or_preclinical_evidence,moderate_or_high
"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.",RCT_or_clinical_trial,human,surrogate_or_indirect,caloric_restriction,9.5,promising_but_incomplete,lower
"MITOCHONDRIAL METABOLIC CHECKPOINT, STEM CELL AGING AND REJUVENATION",in_vitro_study,cellular,surrogate_or_indirect,stem_cell,4.5,speculative_or_hype_heavy,moderate_or_high
CALORIC RESTRICTION AND AGING: FROM CALORIES TO FASTING Times,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,5.5,biomarker_or_preclinical_evidence,moderate_or_high
DIETARY RESTRICTION OF ISOLEUCINE INCREASES THE HEALTHSPAN AND LIFESPAN OF GENETICALLY HETEROGENEOUS MICE,animal_experiment,animal,hard_ageing_relevance,caloric_restriction,10.0,promising_but_incomplete,moderate_or_high
HARNESSING PROTEIN INTAKE AND MICROBIOME INTERACTIONS TO IMPROVE HEALTHSPAN,unclear_or_metadata_only,unclear,surrogate_or_indirect,microbiome,5.5,biomarker_or_preclinical_evidence,moderate_or_high
MOLECULAR MECHANISM OF LIFESPAN EXTENSION BY CALORIC RESTRICTION,unclear_or_metadata_only,unclear,hard_ageing_relevance,caloric_restriction,8.5,promising_but_incomplete,moderate_or_high
P–230 The NAD+ precursor nicotinamide riboside protects against postovulatary aging in vitro,in_vitro_study,cellular,surrogate_or_indirect,nad_sirtuin,6.0,biomarker_or_preclinical_evidence,moderate_or_high
Hydroxyapatite-based nano-drug delivery system for nicotinamide mononucleotide (NMN): significantly enhancing NMN bioavailability and replenishing <i>in vivo</i> nicotinamide adenine dinucleotide (NAD+) levels,unclear_or_metadata_only,unclear,surrogate_or_indirect,nad_sirtuin,5.5,biomarker_or_preclinical_evidence,moderate_or_high
"Keeping up with the nicotinamides: NADP(H), the forgotten circadian cofactor that keeps metabolic time.",unclear_or_metadata_only,unclear,surrogate_or_indirect,sleep_circadian,7.0,biomarker_or_preclinical_evidence,moderate_or_high
Caloric Restriction and Maximum Lifespan,unclear_or_metadata_only,unclear,hard_ageing_relevance,caloric_restriction,8.5,promising_but_incomplete,moderate_or_high
Sirolimus and Mimetics: Modulator Sine Qua Non for Cardiac Xenotransplantation?,unclear_or_metadata_only,unclear,surrogate_or_indirect,rapamycin_mtor,4.0,speculative_or_hype_heavy,moderate_or_high
Dynamical Systems Models for Plasma Dilution,unclear_or_metadata_only,unclear,surrogate_or_indirect,controversial,1.0,speculative_or_hype_heavy,moderate_or_high
Dietary change without caloric restriction maintains a youthful profile in ageing yeast,unclear_or_metadata_only,unclear,surrogate_or_indirect,caloric_restriction,4.5,speculative_or_hype_heavy,moderate_or_high
"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions",unclear_or_metadata_only,unclear,surrogate_or_indirect,senolytics,4.5,speculative_or_hype_heavy,moderate_or_high
Towards personalized nicotinamide mononucleotide (NMN) supplementation: nicotinamide adenine dinucleotide (NAD) concentration,animal_experiment,human,surrogate_or_indirect,nad_sirtuin,8.5,promising_but_incomplete,moderate_or_high
