title,intervention_name,ageing_domain_category,effect_size,uncertainty_measure,effect_direction,meta_ready,reason_not_meta_ready
Optimum Sleep for Healthy Ageing,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Sleep, Ageing, and Cognitive Decline",sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Fecal Transplant: The Benefits and Harms of Fecal Microbiota Transplantation,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Caloric Restriction and Biomarkers of Aging,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Circadian Clocks and mTOR Signaling,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Stem Cell Aging: An Overview,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Aging of Muscle Stem Cells,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Aging of Human Mesenchymal Stem Cells,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Aging of the Hematopoietic Stem Cell Niches,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Hematopoietic Stem Cell Aging and Leukemogenesis,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Closing the Circle: Stem Cell Rejuvenation and Longevity,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Aging of Intestinal Stem Cells in Drosophila Melanogaster,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Aging of Murine Hematopoietic Stem Cells,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Aging of Human Haematopoietic Stem Cells,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Aging of Mammalian Intestinal Stem Cells,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"History of Caloric Restriction, Aging and Longevity",caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Caloric Restriction, Fasting, and Antiaging Medicine: Fasting, the Biological Signals of Starvation, and Antiaging",caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Caloric Restriction and Starvation in Antiaging Medicine: Caloric Restriction Mimetics,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Physical Activity and Anti-Aging: Prevention of Sarcopenia and Frailty Through Exercise,exercise,healthspan_functional_ageing,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Gut Microbiome and Brain Ageing,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Gut Microbiome and Brain Aging,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
What is the role played by physical activity and exercise in the frailty syndrome? Perspectives for future research,exercise,healthspan_functional_ageing,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Probiotic and microbial modulation of polyamine production: an emerging avenue for neuroprotection in neurodegenerative disorders.,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Rejuvenation of cerebromicrovascular function in aged mice through heterochronic parabiosis: insights into neurovascular coupling and the impact of young blood factors.,controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Young blood-mediated cerebromicrovascular rejuvenation through heterochronic parabiosis: enhancing blood-brain barrier integrity and capillarization in the aged mouse brain.,controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Impacts of systemic milieu on cerebrovascular and brain aging: insights from heterochronic parabiosis, blood exchange, and plasma transfer experiments.",controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Glucagon receptor signaling is indispensable for the healthspan effects of caloric restriction in aging male mice.,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Safety of resistance training in the elderly,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,exercise,healthspan_functional_ageing,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
NAD+ Precursors Nicotinamide Mononucleotide (NMN) and Nicotinamide Riboside (NR): Potential Dietary Contribution to Health,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Recommendations from the European interdisciplinary council on ageing on physical activity and diet for mental health conditions in older adults.,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Rapamycin (Sirolimus),rapamycin_mtor,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Change of the hepatic cells in parabiosis between old and young rats,controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Changes in hepatic cell mitochondria during parabiosis between old and young rats,controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Changes with aging, sex and physical exercise in murine natural killer activity and antibody-dependent cellular cytotoxicity",exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Influence of physical exercise on aging rats: I. Life-long exercise preserves patterns of spontaneous activity,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Influence of physical exercise on aging rats: II. Life-long exercise delays aging of tail tendon collagen,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Mammalian Target of Rapamycin (mTOR), Aging, Neuroscience, and Their Association with Aging-Related Diseases",rapamycin_mtor,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Fecal Microbiota and Probiotic Yogurt Intake,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
NAD+: a crucial regulator of sirtuin activity in aging,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Fecal Microbiome Transplantation: An Offhand Recipe for Microbiome Therapeutics,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Senomorphic, senolytic, and rejuvenation therapies",senolytics,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Physical activity and health in an ageing workforce,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Mechanisms of the anti-aging action of caloric restriction,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Evolution of the anti-aging action of caloric restriction,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Senolytic and senomorphic interventions to defy senescence-associated mitochondrial dysfunction,senolytics,biological_ageing_biomarker,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Unraveling the meta-hallmarks between senescent and tumor cells: A new perspective for senolytic drug discovery.,senolytics,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Caloric restriction and intermittent fasting: Two potential diets for successful brain aging,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Telomerase activation: A potential key modulator for human healthspan and longevity,controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Dietary restriction and lifespan: Lessons from invertebrate models,caloric_restriction,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
The Role of Rapamycin in Healthspan Extension via the Delay of Organ Aging,rapamycin_mtor,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Exercise interventions to improve physical frailty and physical frailty components in older adults with hypertension: A systematic review,exercise,healthspan_functional_ageing,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Comparison of anti-aging effect of PQQ (Pyrroloquinoline quinone) and NMN/NR (Nicotinamide mononucleotide /Nicotinamide riboside) – possible combination use,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
The epigenetic rejuvenation promise: Partial reprogramming as a therapeutic strategy for aging and disease.,reprogramming,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Senolytic cocktail dasatinib+quercetin (D+Q) ameliorate irradiation-induced bone loss in mice through inhibiting osteocyte senescence and SASP,senolytics,biological_ageing_biomarker,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Aging, Rejuvenation, and Epigenetic Reprogramming: Resetting the Aging Clock",reprogramming,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.,reprogramming,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Circadian rhythm disruption impairs ovarian follicular development via NAD&lt;sup&gt;+&lt;/sup&gt; metabolic reprogramming.,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Fasting or caloric restriction for Healthy Aging,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Fecal microbiota transplantation for antibiotic resistant bacteria decolonization,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Senolytic Cocktail Dasatinib Plus Quercetin Enhances the Antitumor Effect of Senescence-Inducing Radiotherapy in a Preclinical Model of Melanoma,senolytics,biological_ageing_biomarker,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
The NAD-brain pharmacokinetic study of NAD augmentation in blood and brain using oral precursor supplementation.,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Probiotic potential of Parabacteroides johnsonii in mitigating age-related ovarian functional decline.,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,exercise,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Muscle stem cell aging: identifying ways to induce tissue rejuvenation,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
The mitochondrial metabolic checkpoint in stem cell aging and rejuvenation,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Towards personalized nicotinamide mononucleotide (NMN) supplementation: Nicotinamide adenine dinucleotide (NAD) concentration,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Metformin-induced longevity is associated with retrotransposon dynamics in yeast chronological aging,metformin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Senolytic combination of dasatinib and quercetin attenuates renal damage in diabetic kidney disease,senolytics,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Research of <i>in vivo</i> reprogramming toward clinical applications in regenerative medicine: A concise review.,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Two decades of induced pluripotent stem cell research: From discovery to diverse applications.,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Environmental, infrastructural, and social drivers of physical activity in aging cities",exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Impacts of sarcopenia and resistance exercise training on mitochondrial quality control proteins,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
From wrinkles to malignancy: small-molecule-mediated stem cell approaches in skin aging.,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Mo1818 Effect of Aging on the Fecal Microbiome in Healthy Donors for Fecal Microbiota Transplant,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Proteolysis, caloric restriction and aging",caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Caloric restriction and lifespan: a role for protein turnover?,caloric_restriction,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Cellular and molecular mechanisms whereby dietary restriction extends healthspan: a beneficial type of stress,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Endogenous oxidative stress: relationship to aging, longevity and caloric restriction",caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Selective Assembly between Cu2+ and Nicotinamide Mononucleotide (NMN),nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,senolytics,biological_ageing_biomarker,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,senolytics,biological_ageing_biomarker,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Nicotinamide riboside, an NAD+ precursor, attenuates inflammation and oxidative stress by activating sirtuin 1 in alcohol-stimulated macrophages",nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Nicotinamide phosphoribosyltransferase in NAD&lt;sup&gt;+&lt;/sup&gt; metabolism: physiological and pathophysiological implications.,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Early-life exercise extends healthspan but not lifespan in mice.,exercise,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Single-cell profiling unveils a geroprotective role of Procyanidin C1 in hematopoietic immune system via senolytic and senomorphic effects,senolytics,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Probiotic Lactiplantibacillus plantarum OL3246 supports healthy aging by enhancing quality of life, reducing inflammation, and modulating gut microbiota: a pilot study.",microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Dasatinib plus quercetin attenuates some frailty characteristics in SAMP10 mice,senolytics,healthspan_functional_ageing,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Effect of preoperative rapamycin supplementation on perioperative clinical frailty and cognitive performance in a murine model undergoing anesthesia and surgery.,rapamycin_mtor,healthspan_functional_ageing,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Promoting healthspan and lifespan with caloric restriction in primates,caloric_restriction,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Decoding ageing: Handan Melike Dönertaş on microbiomes, AI and improving lifespan and healthspan",microbiome,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
NAD&lt;sup&gt;+&lt;/sup&gt; controls circadian rhythmicity during cardiac aging.,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Isoleucine dietary restriction boosts healthspan and longevity in mice,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Dietary restriction in aging and longevity.,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Bisdemethoxycurcumin extends lifespan and healthspan in &lt;i&gt;Caenorhabditis elegans via&lt;/i&gt; modulation of EGFR-linked signaling pathways.,supplements,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Physical Exercise Toughens,exercise,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
On the Nonspecific Degradation of NAD+ to Nicotinamide Riboside,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Determination of NAD+ precursors nicotinamide mononucleotide (NMN) and nicotinamide riboside (NR) in plant foods: exploring dietary sources,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
The role of gut microbiome in aging-associated diseases: where do we stand now and how technology will transform the future.,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Circadian synchronization between diet and gut microbiota in modulating host's health.,sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Function of NAD metabolism in white adipose tissue: lessons from mouse models.,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Recombinant Human Erythropoietin Plays a Pivotal Role As a Topical Stem Cell Activator to Reverse Effects of Damage to the Skin in Aging and Trauma,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Accelerated Aging versus Rejuvenation of the Immune System in Heterochronic Parabiosis,controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Resveratrol Up-Regulates the Erythrocyte Plasma Membrane Redox System and Mitigates Oxidation-Induced Alterations in Erythrocytes During Aging in Humans,supplements,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
The Plasma NAD <sup>+</sup> Metabolome Is Dysregulated in “Normal” Aging,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
How Could We Slow or Reverse the Human Aging Process and Extend the Healthy Life Span with Heterochronous Autologous Hematopoietic Stem Cell Transplantation,stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Three-Month Heterochronic Parabiosis Has a Deleterious Effect on the Lifespan of Young Animals, Without a Positive Effect for Old Animals",controversial,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Genetic regulation of fasting-induced longevity effects.,fasting,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Young Plasma Rejuvenates Blood DNA Methylation Profile, Extends Mean Lifespan, and Improves Physical Appearance in Old Rats.",controversial,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.",caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"MITOCHONDRIAL METABOLIC CHECKPOINT, STEM CELL AGING AND REJUVENATION",stem_cell,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
CALORIC RESTRICTION AND AGING: FROM CALORIES TO FASTING Times,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
DIETARY RESTRICTION OF ISOLEUCINE INCREASES THE HEALTHSPAN AND LIFESPAN OF GENETICALLY HETEROGENEOUS MICE,caloric_restriction,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
HARNESSING PROTEIN INTAKE AND MICROBIOME INTERACTIONS TO IMPROVE HEALTHSPAN,microbiome,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
MOLECULAR MECHANISM OF LIFESPAN EXTENSION BY CALORIC RESTRICTION,caloric_restriction,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
P–230 The NAD+ precursor nicotinamide riboside protects against postovulatary aging in vitro,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Hydroxyapatite-based nano-drug delivery system for nicotinamide mononucleotide (NMN): significantly enhancing NMN bioavailability and replenishing <i>in vivo</i> nicotinamide adenine dinucleotide (NAD+) levels,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Keeping up with the nicotinamides: NADP(H), the forgotten circadian cofactor that keeps metabolic time.",sleep_circadian,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Caloric Restriction and Maximum Lifespan,caloric_restriction,hard_ageing_relevance,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Sirolimus and Mimetics: Modulator Sine Qua Non for Cardiac Xenotransplantation?,rapamycin_mtor,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Dynamical Systems Models for Plasma Dilution,controversial,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Dietary change without caloric restriction maintains a youthful profile in ageing yeast,caloric_restriction,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions",senolytics,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Towards personalized nicotinamide mononucleotide (NMN) supplementation: nicotinamide adenine dinucleotide (NAD) concentration,nad_sirtuin,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
Senolytic therapy combining Dasatinib and Quercetin restores the chondrogenic phenotype of human osteoarthritic chondrocytes by promoting the release of pro-anabolic mediators,senolytics,surrogate_or_indirect,,,not_extracted_metadata_only,False,Effect sizes not extracted from full text in pilot metadata pass
