source,source_stream,query,record_id,title,abstract,authors,year,journal,doi,pmid,pmcid,url,publication_type,is_preprint,retrieved_at,dedup_key,title_norm
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",a2a8f7a8f94eaf9768ce58132f2f4469,"Decision letter for ""Sequencing method matters: differential performance of DNA methylation data acquisition in epigenetic clock calibration""",,,2025.0,,10.1002/jav.03498/v3/decision1,,,https://doi.org/10.1002/jav.03498/v3/decision1,peer-review,False,2026-04-23T01:40:51,doi:10.1002/jav.03498/v3/decision1,decision letter for sequencing method matters differential performance of dna methylation data acquisition in epigenetic clock calibration
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",fc03bf8b78f2d4b313c9ea3a7433fe3a,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2026.0,,10.1002/vms3.70854/v2/decision1,,,https://doi.org/10.1002/vms3.70854/v2/decision1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v2/decision1,decision letter for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",036ef1150611d5e7a2776ef82d1cae3c,"Decision letter for ""Survey on fecal microbiota transplantation and probiotic use in equine practice in France and Belgium""",,,2025.0,,10.1002/vms3.70854/v1/decision1,,,https://doi.org/10.1002/vms3.70854/v1/decision1,peer-review,False,2026-04-23T01:41:51,doi:10.1002/vms3.70854/v1/decision1,decision letter for survey on fecal microbiota transplantation and probiotic use in equine practice in france and belgium
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),1818043acae4449a4d055794b69c862b,Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,,,,,10.1021/acs.jmedchem.5c01442.s001,,,https://doi.org/10.1021/acs.jmedchem.5c01442.s001,component,False,2026-04-23T01:41:38,doi:10.1021/acs.jmedchem.5c01442.s001,design and synthesis of senescence targeted prodrugs with senomorphic and senolytic properties to mitigate chemotherapy induced kidney injury
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),7f43ac0b938acae3ad1fa0a7c1d26b41,Design and Synthesis of Senescence-Targeted Prodrugs with Senomorphic and Senolytic Properties To Mitigate Chemotherapy-Induced Kidney Injury,,,,,10.1021/acs.jmedchem.5c01442.s002,,,https://doi.org/10.1021/acs.jmedchem.5c01442.s002,component,False,2026-04-23T01:41:38,doi:10.1021/acs.jmedchem.5c01442.s002,design and synthesis of senescence targeted prodrugs with senomorphic and senolytic properties to mitigate chemotherapy induced kidney injury
europe_pmc,mixed,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",29193f301d0b56d2ab29349411e9cb4d,Dietary restriction in aging and longevity.,,"Schmauck-Medina T, Lautrup S, Di Francesco A, Mitchell SJ, Clemmensen C, Partridge L, Roth GS, Anderson RM, Mattison JA, de Cabo R, Speakman JR, Richardson A, Ingram DK, Weindruch R, Mattson MP, Fang EF.",2026.0,Nat Aging,10.1038/s43587-026-01091-5,41792328.0,,,review; journal article,False,2026-04-23T01:41:04,doi:10.1038/s43587-026-01091-5,dietary restriction in aging and longevity
pubmed,peer_reviewed,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),9ac478d2e9b5c84384fe6ec56a51866d,Dietary restriction in aging and longevity.,,Schmauck-Medina T; Lautrup S; Di Francesco A; Mitchell SJ; Clemmensen C; Partridge L; Roth GS; Anderson RM,2026.0,Nature aging,,41792328.0,,https://pubmed.ncbi.nlm.nih.gov/41792328/,Journal Article; Review,False,2026-04-23T01:40:41,pmid:41792328.0,dietary restriction in aging and longevity
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",c5284b5a96554dd9da66b8a393068f2c,eLife Assessment: Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,Benayoun Bérénice A,2023.0,,10.7554/elife.90579.1.sa2,,,https://doi.org/10.7554/elife.90579.1.sa2,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.1.sa2,elife assessment multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",60fdf416c06ca0058ad6f63017f244a5,eLife assessment: Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,Benayoun Bérénice A,2024.0,,10.7554/elife.90579.3.sa0,,,https://doi.org/10.7554/elife.90579.3.sa0,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.3.sa0,elife assessment multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
crossref,bibliographic,"(aging OR ageing OR rejuvenation) AND (""stem cell"" OR ""partial reprogramming"" OR Yamanaka)",bda6d8fc12105f0aeb0d45ce44fc1f90,eLife Assessment: Multi-omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation,,Benayoun Bérénice A,2024.0,,10.7554/elife.90579.2.sa2,,,https://doi.org/10.7554/elife.90579.2.sa2,peer-review,False,2026-04-23T01:41:45,doi:10.7554/elife.90579.2.sa2,elife assessment multi omics characterization of partial chemical reprogramming reveals evidence of cell rejuvenation
pubmed,peer_reviewed,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",ef7b8c989c2346411c260b9642ad115a,Epigenetic clock: A promising biomarker and practical tool in aging.,,Duan R; Fu Q; Sun Y; Li Q,2022.0,Ageing research reviews,,36206857.0,,https://pubmed.ncbi.nlm.nih.gov/36206857/,"Journal Article; Review; Research Support, Non-U.S. Gov't",False,2026-04-23T01:40:48,pmid:36206857.0,epigenetic clock a promising biomarker and practical tool in aging
crossref,bibliographic,"(aging OR ageing OR ""epigenetic clock"") AND (NAD OR ""nicotinamide riboside"" OR NMN OR sirtuin)",ea644b934975a55cc26c12bb4749e50d,Epigenetic clock: A promising biomarker and practical tool in aging,,Duan Ran; Fu Qiaoyu; Sun Yu; Li Qingfeng,2022.0,Ageing Research Reviews,10.1016/j.arr.2022.101743,,,https://doi.org/10.1016/j.arr.2022.101743,journal-article,False,2026-04-23T01:41:30,doi:10.1016/j.arr.2022.101743,epigenetic clock a promising biomarker and practical tool in aging
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",aef591536eef40e33da0eabe7c4c247e,Epigenetic clock measuring age acceleration via DNA methylation levels in blood is associated with decreased oocyte yield,,Monseur Brent; Murugappan Gaya; Bentley Jason; Teng Nelson; Westphal Lynn,2019.0,Fertility and Sterility,10.1016/j.fertnstert.2019.02.039,,,https://doi.org/10.1016/j.fertnstert.2019.02.039,journal-article,False,2026-04-23T01:40:51,doi:10.1016/j.fertnstert.2019.02.039,epigenetic clock measuring age acceleration via dna methylation levels in blood is associated with decreased oocyte yield
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",0c9ce2d5f69a342c8b79eddae5be28e2,Epigenetic clock measuring age acceleration via DNA methylation levels in blood is associated with decreased oocyte yield,,Monseur Brent; Murugappan Gayathree; Bentley Jason; Teng Nelson; Westphal Lynn,2020.0,Journal of Assisted Reproduction and Genetics,10.1007/s10815-020-01763-0,,,https://doi.org/10.1007/s10815-020-01763-0,journal-article,False,2026-04-23T01:40:51,doi:10.1007/s10815-020-01763-0,epigenetic clock measuring age acceleration via dna methylation levels in blood is associated with decreased oocyte yield
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),a41760cc396932ce4c1407ff4de784ce,Exploring Senolytic and Senomorphic Properties of Medicinal Plants for Anti-Aging Therapies,,Imb Monika; Véghelyi Zsolt; Maurer Michael; Kühnel Harald,2024.0,International Journal of Molecular Sciences,10.3390/ijms251910419,,,https://doi.org/10.3390/ijms251910419,journal-article,False,2026-04-23T01:41:38,doi:10.3390/ijms251910419,exploring senolytic and senomorphic properties of medicinal plants for anti aging therapies
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),be11163b596a7f4e1c172bb1583857e9,Exploring Senolytic and Senomorphic Properties of Medicinal Plants for Anti-Aging Therapies,,Imb Monika; Véghelyi Zsolt; Maurer Michael; Kühnel Harald,,,10.20944/preprints202408.0590.v1,,,https://doi.org/10.20944/preprints202408.0590.v1,posted-content,True,2026-04-23T01:41:38,doi:10.20944/preprints202408.0590.v1,exploring senolytic and senomorphic properties of medicinal plants for anti aging therapies
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),7012d1f9a35a5a383083d0496b05a998,"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions",,Lee Edwin; Carreras-Gallo Natàlia; Lopez Leilani; Turner Logan; Lin Aaron; Mendez Tavis L.; Went Hannah; Tomusiak Alan,,,10.1101/2023.09.22.23295961,,,https://doi.org/10.1101/2023.09.22.23295961,posted-content,True,2026-04-23T01:41:38,doi:10.1101/2023.09.22.23295961,exploring the effects of dasatinib quercetin and fisetin on dna methylation clocks a longitudinal study on senolytic interventions
crossref,bibliographic,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),e5d58de057f28206ddf06fc317cf68b1,"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions",,Lee Edwin; Carreras-Gallo Natàlia; Lopez Leilani; Turner Logan; Lin Aaron; Mendez Tavis L.; Went Hannah; Tomusiak Alan,2024.0,Aging,10.18632/aging.205581,,,https://doi.org/10.18632/aging.205581,journal-article,False,2026-04-23T01:41:38,doi:10.18632/aging.205581,exploring the effects of dasatinib quercetin and fisetin on dna methylation clocks a longitudinal study on senolytic interventions
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),f3c8d94785c5fdf1c9ceb78cd8665ec2,Faculty Opinions recommendation of Uncoupling lifespan and healthspan in Caenorhabditis elegans longevity mutants.,,Melov Simon,2016.0,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,10.3410/f.725298398.793516983,,,https://doi.org/10.3410/f.725298398.793516983,dataset,False,2026-04-23T01:40:44,doi:10.3410/f.725298398.793516983,faculty opinions recommendation of uncoupling lifespan and healthspan in caenorhabditis elegans longevity mutants
crossref,bibliographic,(aging OR ageing OR longevity OR healthspan OR lifespan) AND (intervention OR trial OR treatment OR therapy),843f9ce14313893aec14dfa5d9d0a817,Faculty Opinions recommendation of Uncoupling lifespan and healthspan in Caenorhabditis elegans longevity mutants.,,Flatt Thomas,2015.0,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,10.3410/f.725298398.793504482,,,https://doi.org/10.3410/f.725298398.793504482,dataset,False,2026-04-23T01:40:44,doi:10.3410/f.725298398.793504482,faculty opinions recommendation of uncoupling lifespan and healthspan in caenorhabditis elegans longevity mutants
pubmed,peer_reviewed,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",6059f13594f16ea6280ea9a56ca896fd,Fasting or caloric restriction for healthy aging.,,Anton S; Leeuwenburgh C,2013.0,Experimental gerontology,,23639403.0,,https://pubmed.ncbi.nlm.nih.gov/23639403/,"Editorial; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",False,2026-04-23T01:41:02,pmid:23639403.0,fasting or caloric restriction for healthy aging
crossref,bibliographic,"(aging OR ageing OR healthspan OR lifespan) AND (""caloric restriction"" OR ""dietary restriction"" OR fasting)",2ad6a0f0f3a61211071fdc2112105f7b,Fasting or caloric restriction for Healthy Aging,,Anton Stephen; Leeuwenburgh Christiaan,2013.0,Experimental Gerontology,10.1016/j.exger.2013.04.011,,,https://doi.org/10.1016/j.exger.2013.04.011,journal-article,False,2026-04-23T01:41:06,doi:10.1016/j.exger.2013.04.011,fasting or caloric restriction for healthy aging
pubmed,peer_reviewed,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",9b6e7d36f0b67295d31c01963c43ad42,Gut microbiota and aging.,,Ling Z; Liu X; Cheng Y; Yan X; Wu S,2022.0,Critical reviews in food science and nutrition,,33377391.0,,https://pubmed.ncbi.nlm.nih.gov/33377391/,Journal Article; Review,False,2026-04-23T01:41:48,pmid:33377391.0,gut microbiota and aging
pubmed,peer_reviewed,"(aging OR ageing OR healthspan) AND (microbiome OR probiotic OR ""fecal microbiota"")",f2f268a424f665148dad5ac6424a94ee,Gut microbiota and aging.,,Mangiola F; Nicoletti A; Gasbarrini A; Ponziani FR,2018.0,European review for medical and pharmacological sciences,,30468488.0,,https://pubmed.ncbi.nlm.nih.gov/30468488/,Journal Article; Review,False,2026-04-23T01:41:48,pmid:30468488.0,gut microbiota and aging
europe_pmc,mixed,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),c77703a81de456a50bfb2582302dd9ca,"Heterogeneity of Cellular Senescence, Senotyping, and Targeting by Senolytics and Senomorphics in Lung Diseases",,"Ozdemir SA, Faizan MI, Kaur G, Shaikh SB, Ganaie KUI, Rahman I.",2025.0,PPR,10.20944/preprints202508.1331.v1,,,,preprint,False,2026-04-23T01:41:36,doi:10.20944/preprints202508.1331.v1,heterogeneity of cellular senescence senotyping and targeting by senolytics and senomorphics in lung diseases
europe_pmc,mixed,(aging OR ageing OR senescence OR frailty) AND (senolytic OR senomorphic OR fisetin OR dasatinib OR quercetin),c5a6a2365f491dc35495bb7b252fd9dd,"Heterogeneity of Cellular Senescence, Senotyping, and Targeting by Senolytics and Senomorphics in Lung Diseases.",,"Ozdemir SA, Faizan MI, Kaur G, Shaikh SB, Ul Islam K, Rahman I.",2025.0,Int J Mol Sci,10.3390/ijms26199687,41096951.0,PMC12525360,,review-article; review; journal article,False,2026-04-23T01:41:36,doi:10.3390/ijms26199687,heterogeneity of cellular senescence senotyping and targeting by senolytics and senomorphics in lung diseases
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",ba0c572129c9f95679ae60f358dede8c,KoMethylNet: a novel epigenetic clock based on neural network analysis of DNA methylation data and epigenetic age acceleration in a Korean population,,Yun Dabin; Oh Kwangyeon; Kim Yujin; Ahn Yong Min; Parikh Hemang M.; Meng Xiaoxi; Wang Zhaoming; Song Nan,2025.0,BMC Medicine,10.1186/s12916-025-04564-3,,,https://doi.org/10.1186/s12916-025-04564-3,journal-article,False,2026-04-23T01:40:51,doi:10.1186/s12916-025-04564-3,komethylnet a novel epigenetic clock based on neural network analysis of dna methylation data and epigenetic age acceleration in a korean population
crossref,bibliographic,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",fd9a75d43b48c0174f5e07fee1a7460b,KoMethylNet: A Novel Epigenetic Clock Based on Neural Network Analysis of DNA Methylation Data and Epigenetic Age Acceleration in a Korean Population,,Yun Dabin; Oh Kwang Yeon; Meng Xiaoxi; Wang Zhaoming; Song Nan,,,10.2139/ssrn.5233275,,,https://doi.org/10.2139/ssrn.5233275,posted-content,True,2026-04-23T01:40:51,doi:10.2139/ssrn.5233275,komethylnet a novel epigenetic clock based on neural network analysis of dna methylation data and epigenetic age acceleration in a korean population
europe_pmc,mixed,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),dc9db3b61b704963d6123aa8d997888c,Mechanistic Links Between the Gut Microbiome and Longevity Therapeutics,,,2026.0,Biomedicines,,,PMC12937842,,review-article; review; journal article,False,2026-04-23T01:41:22,title:mechanistic links between the gut microbiome and longevity therapeutics,mechanistic links between the gut microbiome and longevity therapeutics
europe_pmc,mixed,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),e5b81541ca92626c7582c34cdaf85a80,Mechanistic Links Between the Gut Microbiome and Longevity Therapeutics.,,"Garzon-Escamilla N, Medina-Cardena M, Roy P, Trent J, Jamous J, Somesan Y, Denslow SJ.",2026.0,Biomedicines,10.3390/biomedicines14020316,41751214.0,,,review; journal article,False,2026-04-23T01:41:22,doi:10.3390/biomedicines14020316,mechanistic links between the gut microbiome and longevity therapeutics
europe_pmc,mixed,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),80c9f5c037bce1b4873c9c67014c9f5b,Metformin for Longevity and Sarcopenia: A Therapeutic Paradox in Aging.,,"Han SY, Yadav MK, Wang JH.",2026.0,Biomedicines,10.3390/biomedicines14020376,41751275.0,,,journal article,False,2026-04-23T01:41:22,doi:10.3390/biomedicines14020376,metformin for longevity and sarcopenia a therapeutic paradox in aging
europe_pmc,mixed,(aging OR ageing OR longevity OR frailty) AND (metformin OR rapamycin OR sirolimus OR mTOR),29ae610aad6922b6c71bc493db0e12ad,Metformin for Longevity and Sarcopenia: A Therapeutic Paradox in Aging,,"Han S, Yadav M, Wang J.",2026.0,Biomedicines,,,PMC12938515,,other,False,2026-04-23T01:41:22,title:metformin for longevity and sarcopenia a therapeutic paradox in aging,metformin for longevity and sarcopenia a therapeutic paradox in aging
pubmed,peer_reviewed,"(""biological age"" OR ""epigenetic clock"" OR ""DNA methylation age"") AND (intervention OR trial OR therapy)",e8e47f55307082182f68730727a14cf6,Multi-Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single-Blinded Randomized Placebo-Controlled Therapeutic Plasma Exchange.,,Fuentealba M; Kiprov D; Schneider K; Mu WC; Kumaar PA; Kasler H; Burton JB; Watson M,2025.0,Aging cell,,40424097.0,,https://pubmed.ncbi.nlm.nih.gov/40424097/,Journal Article; Randomized Controlled Trial,False,2026-04-23T01:40:48,pmid:40424097.0,multi omics analysis reveals biomarkers that contribute to biological age rejuvenation in response to single blinded randomized placebo controlled therapeutic plasma exchange
europe_pmc,mixed,"(aging OR ageing OR rejuvenation) AND (parabiosis OR ""young plasma"" OR ""plasma dilution"")",e9f5b3e2f0a7e174fce88466147e414b,Multi-Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single-Blinded Randomized Placebo-Controlled Therapeutic Plasma Exchange.,,"Fuentealba M, Kiprov D, Schneider K, Mu WC, Kumaar PA, Kasler H, Burton JB, Watson M, Halaweh H, King CD, Yüksel ZS, Roska-Pamaong C, Schilling B, Verdin E, Furman D.",2025.0,Aging Cell,10.1111/acel.70103,40424097.0,PMC12341816,,research-article; randomized controlled trial; journal article,False,2026-04-23T01:41:56,doi:10.1111/acel.70103,multi omics analysis reveals biomarkers that contribute to biological age rejuvenation in response to single blinded randomized placebo controlled therapeutic plasma exchange
