study_id,title,intervention_name,endpoint_family,source_type,extractor_method,extraction_status,priority_rank,duplicate_cohort_flag,notes
38424099.0,Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,microbiome,cognition,publisher_html,table_first_then_figure_digitization_if_needed,ready_for_numeric_extraction,410,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41835341.0,A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.,senolytics,other,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,500,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41766355.0,"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.",caloric_restriction,other,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,500,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41663978.0,Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.,exercise,other,pmc_xml,pmc_xml_table_text_parse,ready_for_numeric_extraction,500,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
34535961.0,DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study.,exercise,other,publisher_html,manual_full_text_extraction,ready_for_numeric_extraction,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41475553.0,Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,caloric_restriction,other,doi_landing_page,manual_full_text_extraction,needs_source_resolution,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
37118425.0,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,caloric_restriction,other,publisher_html,manual_full_text_extraction,ready_for_numeric_extraction,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
41854192.0,Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,exercise,other,doi_landing_page,manual_full_text_extraction,needs_source_resolution,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
10.1123_japa.2023-0257,Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,exercise,other,publisher_html,manual_full_text_extraction,ready_for_numeric_extraction,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
40188830.0,Influence of rapamycin on safety and healthspan metrics after one year: PEARL trial results.,rapamycin_mtor,other,publisher_html,manual_full_text_extraction,needs_table_or_figure_capture,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
10.1136_jnnp-2024-ehdn.333,J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,nad_sirtuin,other,publisher_html,manual_full_text_extraction,ready_for_numeric_extraction,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
39771028.0,"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",exercise,other,publisher_html,manual_full_text_extraction,ready_for_numeric_extraction,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
39951177.0,"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",rapamycin_mtor,other,publisher_html,manual_full_text_extraction,ready_for_numeric_extraction,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
30762623.0,The Additive Effects of Creatine Supplementation and Exercise Training in an Aging Population: A Systematic Review of Randomized Controlled Trials.,exercise,other,publisher_html,manual_full_text_extraction,ready_for_numeric_extraction,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
36482258.0,"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",nad_sirtuin,other,publisher_html,manual_full_text_extraction,needs_table_or_figure_capture,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
31761958.0,"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",rapamycin_mtor,other,publisher_html,manual_full_text_extraction,needs_table_or_figure_capture,510,no,"Extract arm-level data first; if tables unavailable, inspect supplements and figures."
