study_id,title,endpoint_family,source_type,has_numeric_snippet,has_local_source,ready_for_pooling,reason_not_ready
41717034.0,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,epigenetic_biological_age,pmc_xml,yes,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
39951177.0,"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
10.1136_jnnp-2024-ehdn.333,J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
39771028.0,"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
10.1123_japa.2023-0257,Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
36482258.0,"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
37118425.0,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
34535961.0,DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study.,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
30762623.0,The Additive Effects of Creatine Supplementation and Exercise Training in an Aging Population: A Systematic Review of Randomized Controlled Trials.,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
31208471.0,Effect of a multicomponent exercise programme (VIVIFRAIL) on functional capacity in frail community elders with cognitive decline: study protocol for a randomized multicentre control trial.,cognition,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
41854192.0,Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,other,doi_landing_page,yes,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
41475553.0,Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,other,doi_landing_page,yes,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
