study_id,title,year,doi,pmid,local_fulltext_path,first_reviewer_fulltext_decision,first_reviewer_reason,clock_signal,rct_signal,numeric_signal,second_reviewer_decision,consensus_decision,consensus_reason,relaxed_decision,relaxed_reason,relaxed_signal_clock,relaxed_signal_timepoints,relaxed_signal_numeric,final_eligibility
WaziryR_2023_29b3ce,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023.0,10.1038/s43587-022-00357-y,37118425.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\WaziryR_2023_29b3ce.pdf,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
BozackA_2025_e4438c,One-carbon metabolism-related compounds are associated with epigenetic aging biomarkers: Results from National Health and Nutrition Examination Survey (NHANES) 1999-2002,2025.0,10.1101/2025.01.06.25320074,,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\BozackA_2025_e4438c.pdf,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,Dunedin Pace,2,"734 (4,840)",include_relaxed
MichelsKB_2024_d5c4df,Impact of folic acid supplementation on the epigenetic profile in healthy unfortified individuals - a randomized intervention trial.,2024.0,10.1080/15592294.2023.2293410,38096372.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\MichelsKB_2024_d5c4df.xml,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,DunedinPACE,2,"0.00 (0.00, 0.00)",include_relaxed
CorleyMJ_2024_9a5fed,Cell-type specific impact of metformin on monocyte epigenetic age reversal in virally suppressed older people living with HIV.,2024.0,10.1111/acel.13926,37675817.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\CorleyMJ_2024_9a5fed.xml,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
NdhlovuLC_2025_a7e788,Virological and Immunological Outcomes of Combined Therapeutic Interventions and Dendritic Cell Therapy in People With HIV.,2025.0,10.1093/infdis/jiaf430,40810569.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\NdhlovuLC_2025_a7e788.xml,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
Anon_2022_76cf8d,DOES CALORIC RESTRICTION SLOW THE PROCESS OF BIOLOGICAL AGING? EVIDENCE FROM THE CALERIE TRIAL,2022.0,,,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\Anon_2022_76cf8d.xml,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
WangS_2025_28ec80,Nucleotides as an Anti-Aging Supplementation in Older Adults: A Randomized Controlled Trial (TALENTs study).,2025.0,10.1002/advs.202417728,40433895.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\WangS_2025_28ec80.xml,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,GrimAge,2,65.65 ± 2.59,include_relaxed
LukkahataiN_2023_edac4e,Feasibility of DNA Methylation Age as a Biomarker of Symptoms and Resilience among Cancer Survivors with Multiple Chronic Conditions.,2023.0,10.3390/biomedicines11113076,38002076.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\LukkahataiN_2023_edac4e.xml,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
AlkemaA_2026_773590,S-adenosylmethionine as an epigenetic treatment of depression in adults with childhood trauma.,2026.0,10.1080/17501911.2026.2645001,42027147.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\AlkemaA_2026_773590.html,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,DunedinPACE,2,4(5–6),include_relaxed
MerrillSM_2024_5ee99d,Telehealth Parenting Program and Salivary Epigenetic Biomarkers in Preschool Children With Developmental Delay: NIMHD Social Epigenomics Program.,2024.0,10.1001/jamanetworkopen.2024.24815,39073812.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\MerrillSM_2024_5ee99d.xml,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,DunedinPACE,2,mean [SD,include_relaxed
YaskolkaMeirA_2023_ba151d,The effect of polyphenols on DNA methylation-assessed biological age attenuation: the DIRECT PLUS randomized controlled trial.,2023.0,10.1186/s12916-023-03067-3,37743489.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\YaskolkaMeirA_2023_ba151d.xml,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
OrrME_2024_4b35d1,A randomized placebo-controlled trial of nicotinamide riboside in older adults with mild cognitive impairment.,2024.0,10.1007/s11357-023-00999-9,37994989.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\OrrME_2024_4b35d1.pdf,exclude_fulltext,DNAm clock outcome not confirmed in accessible full text,no,no,no,,,,still_excluded,Path-C: original exclusion reason not eligible for re-evaluation (DNAm clock outcome not confirmed in accessible full text),,,,exclude_fulltext
LiS_2026_ed6e27,Effects of daily multivitamin-multimineral and cocoa extract supplementation on epigenetic aging clocks in the COSMOS randomized clinical trial.,2026.0,10.1038/s41591-026-04239-3,41803341.0,,await_fulltext,No accessible XML/PDF/HTML full text in workspace,no,no,no,,,,await_fulltext,No accessible full text; cannot apply relaxed rules,,,,await_fulltext
WeberDM_2025_984085,Relationship intervention moderates the association between substance use and biological aging among Black adults.,2025.0,10.1037/hea0001495,40167560.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\WeberDM_2025_984085.html,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,still_excluded,Path-C re-eval: missing numeric_dispersion_pattern; original reason retained (Observational/association title-abstract signal),DunedinPACE,2,,exclude_fulltext
NwanajiEnweremJC_2021_06bc0c,An epigenetic aging analysis of randomized metformin and weight loss interventions in overweight postmenopausal breast cancer survivors.,2021.0,10.1186/s13148-021-01218-y,34920739.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\NwanajiEnweremJC_2021_06bc0c.xml,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,still_excluded,Path-C re-eval: missing timepoints<2 (found 1); original reason retained (Observational/association title-abstract signal),GrimAge,1,"2.02 (0.02, 4.03)",exclude_fulltext
Anon_2022_70e2d6,VITAMIN D DEFICIENCY AND FASTER EPIGENETIC AGING: RESULTS FROM THE BERLIN AGING STUDY II (BASE-II),2022.0,,,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\Anon_2022_70e2d6.xml,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,still_excluded,Path-C re-eval: missing timepoints<2 (found 1); original reason retained (Observational/association title-abstract signal),GrimAge,1,7.4 ± 1.5,exclude_fulltext
ChenL_2019_c57fe5,Effects of Vitamin D3 Supplementation on Epigenetic Aging in Overweight and Obese African Americans With Suboptimal Vitamin D Status: A Randomized Clinical Trial.,2019.0,10.1093/gerona/gly223,30256915.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\ChenL_2019_c57fe5.html,include_accessible_first_reviewer,Accessible full text confirms intervention/RCT signal and DNAm clock numeric reporting,yes,yes,yes,,,,kept_include,Kept original first-reviewer include under Path-C amendment,,,,include_accessible_first_reviewer
ZhangB_2026_5cf019,Interpretable machine learning with SHAP analysis identifies redox-modulating dietary antioxidants for predicting accelerated biological aging.,2026.0,10.1016/j.exger.2026.113168,42119652.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\ZhangB_2026_5cf019.html,exclude_fulltext,Observational/association title-abstract signal,no,no,no,,,,still_excluded,Path-C re-eval: missing clock_signal; timepoints<2 (found 0); numeric_dispersion_pattern; original reason retained (Observational/association title-abstract signal),,0,,exclude_fulltext
WaziryR_2021_222aa5,Effect of Long-Term Caloric Restriction on DNA Methylation Measures of Biological Aging in Healthy Adults: CALERIE™ Trial Analysis,2021.0,10.1101/2021.09.21.21263912,,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\WaziryR_2021_222aa5.pdf,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,DunedinPACE,2,mean age of 38 years (SD,include_relaxed
WangS_2024_1247bd,"Targeting Aging and Longevity with Exogenous Nucleotides (TALENTs): Rationale, Design, and Baseline Characteristics from a Randomized Controlled Trial in Older Adults.",2024.0,10.3390/nu16091343,38732590.0,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\WangS_2024_1247bd.xml,exclude_fulltext,Protocol/design/baseline-only/conference signal,yes,yes,yes,,,,include_relaxed,Path-C amendment: longitudinal arm-level clock data present,Horvath,2,65.65 ± 2.59,include_relaxed
Euclydes_2022_9ce80c,DNA methylation mediates a randomized controlled trial home-visiting intervention during pregnancy and the Bayley infant’s cognitive scores at 12 months of age,2022.0,10.1017/s2040174421000738,,D:\Anti ageing research\anti_ageing_review\meta_dnam_clocks\data\raw\fulltext\Euclydes_2022_9ce80c.pdf,exclude_fulltext,Observational/association title-abstract signal,yes,yes,yes,,,,still_excluded,Path-C re-eval: missing timepoints<2 (found 1); original reason retained (Observational/association title-abstract signal),epigenetic clock,1,"2(16,7)",exclude_fulltext
Ramsteijn_2026_051063,P1309 Biological age acceleration in Crohn’s Disease patients in long-term remission on combination therapy: epigenetic analysis of the SPARE &amp; STORI trial population,2026.0,10.1093/ecco-jcc/jjaf231.1490,,,await_fulltext,No accessible XML/PDF/HTML full text in workspace,no,no,no,,,,await_fulltext,No accessible full text; cannot apply relaxed rules,,,,await_fulltext
EstebanCantos_2021_63f044,Epigenetic age acceleration changes 2 years after antiretroviral therapy initiation in adults with HIV: a substudy of the NEAT001/ANRS143 randomised trial,2021.0,10.1016/s2352-3018(21)00006-0,33794182.0,,await_fulltext,No accessible XML/PDF/HTML full text in workspace,no,no,no,,,,await_fulltext,No accessible full text; cannot apply relaxed rules,,,,await_fulltext
Anon_2022_df1726,"Slow Age: a Randomized, Controlled Clinical Trial of Interventions to Slow Aging in Humans",2022.0,,,,await_fulltext,No accessible XML/PDF/HTML full text in workspace,no,no,no,,,,await_fulltext,No accessible full text; cannot apply relaxed rules,,,,await_fulltext
